domain	cnt
	50941
sina.com.cn	185
people.com.cn	92
zol.com.cn	63
zjol.com.cn	60
pcgames.com.cn	47
china.com.cn	43
pconline.com.cn	35
gamebbs.qq.com	29
lss.gov.cn	27
familydoctor.com.cn	27
safetree.com.cn	24
weather.com.cn	22
cq.gov.cn	21
10jqka.com.cn	20
enorth.com.cn	19
house.qq.com	18
jschina.com.cn	18
pclady.com.cn	18
sgcc.com.cn	17
99.com.cn	17
voc.com.cn	16
jrj.com.cn	16
cjcp.com.cn	15
hangzhou.com.cn	15
auto.sohu.com	15
pcbaby.com.cn	15
cnnb.com.cn	14
xcar.com.cn	14
sz.bendibao.com	14
fudan.edu.cn	14
hrss.gov.cn	14
gansu.gov.cn	14
jxnews.com.cn	13
icbc.com.cn	13
cf8.com.cn	13
gansudaily.com.cn	12
0s.net.cn	12
pku.edu.cn	11
pcauto.com.cn	11
zju.edu.cn	11
autohome.com.cn	11
xmu.edu.cn	11
pchouse.com.cn	11
hainan.gov.cn	11
scol.com.cn	10
sdu.edu.cn	10
sysu.edu.cn	10
nankai.edu.cn	10
caijing.com.cn	10
chinadaily.com.cn	10
fang.anjuke.com	10
xjtu.edu.cn	10
gog.com.cn	10
house.163.com	9
esf.focus.cn	9
hfut.edu.cn	9
csu.edu.cn	9
rayli.com.cn	9
tsinghua.edu.cn	9
jnu.edu.cn	9
nen.com.cn	9
hit.edu.cn	9
whu.edu.cn	9
dlut.edu.cn	9
xidian.edu.cn	9
sh.fang.com	9
jl.gov.cn	8
shufe.edu.cn	8
hust.edu.cn	8
sh.gov.cn	8
scnu.edu.cn	8
fh21.com.cn	8
fdc.com.cn	8
qd8.com.cn	8
dg.gov.cn	8
xgo.com.cn	8
online.sh.cn	8
nju.edu.cn	8
bjx.com.cn	8
msn.com.cn	8
lzu.edu.cn	8
lnd.com.cn	8
hos.999120.net	7
seu.edu.cn	7
ruc.edu.cn	7
sports.163.com	7
swjtu.edu.cn	7
news.163.com	7
njfu.edu.cn	7
tju.edu.cn	7
cbg.163.com	7
zzu.edu.cn	7
tongji.edu.cn	7
gxnews.com.cn	7
cpd.com.cn	7
customs.gov.cn	7
tyut.edu.cn	7
ef43.com.cn	7
cooco.net.cn	6
zhue.com.cn	6
gz.fang.com	6
chevrolet.com.cn	6
ecnu.edu.cn	6
cqu.edu.cn	6
hunnu.edu.cn	6
stock.cnfol.com	6
suzhou.gov.cn	6
weixin.qq.com	6
yzdsb.com.cn	6
sdut.edu.cn	6
szu.edu.cn	6
ncu.edu.cn	6
shu.edu.cn	6
4hw.com.cn	6
qdu.edu.cn	6
jmu.edu.cn	6
njnu.edu.cn	6
hbut.edu.cn	5
uz.taobao.com	5
gxu.edu.cn	5
fzu.edu.cn	5
uestc.edu.cn	5
qtv.com.cn	5
fjnu.edu.cn	5
findart.com.cn	5
qingdao.gov.cn	5
etest.net.cn	5
edu.sh.cn	5
ecust.edu.cn	5
dhu.edu.cn	5
ppsj.com.cn	5
cug.edu.cn	5
cpu.edu.cn	5
nwpu.edu.cn	5
cib.com.cn	5
chsi.com.cn	5
cd.fang.com	5
ccnu.edu.cn	5
njupt.edu.cn	5
buaa.edu.cn	5
bnu.edu.cn	5
zu.anjuke.com	5
aweb.com.cn	5
hz.fang.com	5
hzau.edu.cn	5
auto.mycar168.com	5
